Episode,Steps
0,974
1,959
2,851
3,1036
4,764
5,923
6,831
7,1035
8,1100
9,1058
10,1013
11,921
12,953
13,877
14,948
15,831
16,887
17,822
18,889
19,856
20,969
21,933
22,993
23,965
24,902
25,884
26,898
27,975
28,937
29,1248
30,926
31,821
32,942
33,918
34,1036
35,945
36,958
37,955
38,828
39,953
40,1090
41,781
42,931
43,840
44,917
45,952
46,883
47,771
48,867
49,856
50,832
51,951
52,853
53,970
54,1044
55,883
56,773
57,1001
58,1297
59,1011
60,927
61,809
62,859
63,813
64,872
65,919
66,946
67,973
68,848
69,1038
70,1361
71,957
72,890
73,1029
74,1091
75,1195
76,871
77,896
78,816
79,980
80,899
81,1126
82,1464
83,916
84,872
85,999
86,835
87,912
88,1039
89,910
90,889
91,930
92,933
93,1331
94,1067
95,811
96,859
97,1074
98,887
99,981
