Episode,Steps
0,1221
1,1154
2,828
3,1281
4,946
5,1158
6,852
7,1256
8,1254
9,1344
10,907
11,1033
12,818
13,871
14,985
15,941
16,824
17,792
18,829
19,1009
20,1138
21,1141
22,1194
23,1187
24,937
25,920
26,1137
27,1058
28,896
29,1565
30,1069
31,893
32,1092
33,1086
34,1276
35,1127
36,949
37,1113
38,773
39,906
40,1366
41,958
42,886
43,939
44,1052
45,1237
46,1039
47,843
48,1015
49,829
50,863
51,979
52,841
53,955
54,900
55,1082
56,944
57,1221
58,1644
59,938
60,1119
61,802
62,1038
63,825
64,934
65,954
66,1101
67,1151
68,829
69,1265
70,1718
71,1140
72,1063
73,1232
74,1359
75,1415
76,947
77,881
78,971
79,1108
80,1036
81,1420
82,1784
83,990
84,827
85,1224
86,781
87,1102
88,1312
89,992
90,918
91,1031
92,851
93,1685
94,1327
95,988
96,873
97,1335
98,1088
99,884
