Episode,Steps
0,864
1,1017
2,948
3,954
4,871
5,811
6,856
7,903
8,933
9,940
10,1038
11,863
12,943
13,887
14,946
15,907
16,899
17,863
18,959
19,901
20,938
21,868
22,1008
23,954
24,940
25,855
26,938
27,1028
28,948
29,986
30,959
31,809
32,990
33,906
34,993
35,903
36,958
37,909
38,854
39,1001
40,996
41,862
42,868
43,910
44,974
45,960
46,891
47,784
48,843
49,809
50,847
51,961
52,953
53,1012
54,905
55,893
56,808
57,898
58,983
59,1100
60,837
61,736
62,942
63,791
64,938
65,936
66,945
67,951
68,906
69,915
70,890
71,864
72,974
73,940
74,981
75,876
76,853
77,945
78,797
79,934
80,884
81,902
82,871
83,1013
84,846
85,898
86,835
87,946
88,950
89,967
90,955
91,870
92,931
93,866
94,819
95,792
96,875
97,951
98,936
99,880
