Episode,Steps
0,1088
1,1014
2,888
3,1143
4,836
5,1026
6,816
7,1154
8,1170
9,1184
10,988
11,947
12,836
13,857
14,982
15,851
16,956
17,819
18,872
19,874
20,1075
21,1016
22,1061
23,1063
24,978
25,873
26,1003
27,1010
28,932
29,1380
30,937
31,801
32,968
33,1010
34,1133
35,1005
36,934
37,1037
38,898
39,903
40,1221
41,829
42,863
43,876
44,947
45,1063
46,1017
47,788
48,930
49,823
50,797
51,947
52,789
53,973
54,983
55,955
56,846
57,1115
58,1448
59,1023
60,991
61,772
62,921
63,871
64,988
65,938
66,981
67,1008
68,857
69,1142
70,1517
71,988
72,912
73,1114
74,1246
75,1290
76,875
77,894
78,862
79,1022
80,990
81,1255
82,1565
83,861
84,835
85,1088
86,736
87,984
88,1144
89,924
90,958
91,961
92,849
93,1486
94,1181
95,856
96,842
97,1188
98,955
99,904
