Episode,Steps
0,888
1,984
2,866
3,996
4,783
5,849
6,887
7,992
8,990
9,994
10,969
11,923
12,926
13,875
14,951
15,842
16,867
17,851
18,865
19,819
20,953
21,870
22,1020
23,944
24,870
25,878
26,839
27,1090
28,891
29,1128
30,940
31,795
32,961
33,906
34,975
35,979
36,900
37,909
38,875
39,884
40,1019
41,861
42,905
43,808
44,915
45,894
46,902
47,851
48,872
49,818
50,830
51,954
52,784
53,984
54,1049
55,816
56,786
57,945
58,1175
59,1018
60,859
61,754
62,905
63,813
64,955
65,976
66,924
67,938
68,863
69,984
70,1236
71,887
72,999
73,925
74,972
75,1109
76,927
77,939
78,803
79,881
80,918
81,1008
82,1320
83,888
84,851
85,978
86,779
87,900
88,954
89,919
90,900
91,907
92,909
93,1219
94,976
95,832
96,838
97,982
98,871
99,940
