Episode,Steps
0,895
1,1045
2,927
3,954
4,901
5,834
6,940
7,933
8,873
9,842
10,983
11,924
12,936
13,833
14,975
15,854
16,952
17,826
18,877
19,813
20,965
21,917
22,1034
23,874
24,976
25,888
26,931
27,1008
28,866
29,1111
30,1010
31,831
32,1061
33,984
34,981
35,914
36,948
37,963
38,842
39,985
40,893
41,810
42,944
43,888
44,870
45,915
46,905
47,828
48,913
49,876
50,916
51,1037
52,839
53,930
54,1004
55,950
56,908
57,926
58,1044
59,1026
60,916
61,804
62,920
63,908
64,957
65,1017
66,904
67,954
68,911
69,784
70,946
71,825
72,939
73,938
74,982
75,943
76,897
77,864
78,834
79,958
80,864
81,984
82,930
83,946
84,919
85,918
86,805
87,944
88,908
89,816
90,920
91,895
92,886
93,845
94,1008
95,913
96,940
97,806
98,896
99,948
