Episode,Steps
0,895
1,1048
2,942
3,904
4,901
5,824
6,864
7,860
8,907
9,907
10,1085
11,863
12,898
13,843
14,937
15,899
16,892
17,846
18,922
19,850
20,934
21,910
22,998
23,983
24,981
25,905
26,883
27,1028
28,932
29,1030
30,942
31,834
32,957
33,908
34,1049
35,1011
36,932
37,914
38,854
39,927
40,1007
41,810
42,865
43,950
44,1049
45,931
46,916
47,837
48,889
49,813
50,835
51,951
52,813
53,969
54,969
55,940
56,853
57,960
58,964
59,960
60,878
61,758
62,909
63,819
64,939
65,1002
66,896
67,916
68,906
69,921
70,949
71,792
72,1008
73,856
74,926
75,930
76,781
77,988
78,800
79,955
80,852
81,948
82,833
83,989
84,879
85,845
86,789
87,986
88,871
89,949
90,972
91,990
92,893
93,871
94,941
95,857
96,900
97,846
98,897
99,939
