Episode,Steps
0,825
1,1029
2,869
3,946
4,843
5,850
6,815
7,876
8,928
9,959
10,1005
11,894
12,894
13,797
14,941
15,874
16,972
17,898
18,950
19,819
20,1012
21,870
22,1073
23,884
24,959
25,872
26,942
27,986
28,948
29,891
30,943
31,914
32,935
33,1011
34,1063
35,1000
36,917
37,890
38,882
39,947
40,981
41,833
42,903
43,910
44,987
45,994
46,833
47,802
48,863
49,829
50,853
51,962
52,839
53,919
54,942
55,839
56,828
57,889
58,946
59,937
60,766
61,774
62,910
63,879
64,1008
65,996
66,915
67,987
68,871
69,871
70,849
71,839
72,1059
73,829
74,1033
75,853
76,764
77,910
78,815
79,960
80,905
81,927
82,917
83,965
84,939
85,921
86,797
87,960
88,888
89,945
90,927
91,922
92,955
93,910
94,891
95,837
96,849
97,843
98,877
99,880
