Episode,Steps
0,838
1,968
2,885
3,861
4,901
5,896
6,857
7,1000
8,952
9,888
10,998
11,969
12,919
13,831
14,978
15,853
16,836
17,859
18,847
19,827
20,935
21,875
22,959
23,896
24,936
25,905
26,949
27,1096
28,948
29,1040
30,1019
31,831
32,1064
33,945
34,971
35,1015
36,913
37,925
38,973
39,971
40,1005
41,851
42,838
43,917
44,940
45,960
46,966
47,778
48,837
49,794
50,868
51,997
52,817
53,985
54,892
55,900
56,820
57,942
58,972
59,988
60,866
61,804
62,920
63,915
64,939
65,1002
66,962
67,986
68,847
69,812
70,877
71,856
72,979
73,851
74,926
75,964
76,907
77,1002
78,801
79,930
80,913
81,949
82,858
83,920
84,937
85,852
86,751
87,924
88,958
89,866
90,858
91,927
92,894
93,928
94,830
95,804
96,906
97,883
98,905
99,932
