Episode,Steps
0,909
1,1050
2,916
3,1021
4,800
5,849
6,894
7,837
8,896
9,993
10,934
11,983
12,851
13,878
14,952
15,862
16,842
17,816
18,956
19,822
20,953
21,959
22,1006
23,955
24,946
25,905
26,938
27,1038
28,870
29,986
30,1008
31,852
32,931
33,922
34,958
35,966
36,889
37,962
38,854
39,979
40,958
41,869
42,835
43,892
44,861
45,991
46,866
47,889
48,853
49,843
50,890
51,1037
52,866
53,977
54,923
55,879
56,875
57,989
58,1080
59,966
60,867
61,780
62,942
63,791
64,913
65,1002
66,916
67,899
68,879
69,839
70,878
71,879
72,972
73,900
74,866
75,900
76,875
77,946
78,852
79,875
80,906
81,956
82,822
83,953
84,825
85,941
86,838
87,931
88,879
89,795
90,867
91,1047
92,971
93,822
94,879
95,883
96,802
97,894
98,873
99,883
