Episode,Steps
0,1398
1,1305
2,925
3,1465
4,1093
5,1335
6,959
7,1407
8,1481
9,1557
10,956
11,1074
12,920
13,879
14,938
15,1048
16,881
17,835
18,957
19,1074
20,1345
21,1299
22,1370
23,1334
24,923
25,1047
26,1315
27,965
28,902
29,1812
30,1229
31,1003
32,1257
33,1203
34,1464
35,1301
36,1068
37,1329
38,859
39,980
40,1527
41,1089
42,1004
43,1034
44,1198
45,1368
46,1175
47,968
48,1140
49,961
50,917
51,1104
52,957
53,929
54,912
55,1252
56,1075
57,1392
58,1904
59,988
60,1290
61,840
62,1194
63,838
64,892
65,909
66,1291
67,1284
68,854
69,1455
70,1986
71,1242
72,1215
73,1425
74,1513
75,1635
76,942
77,930
78,1165
79,1237
80,1183
81,1640
82,1999
83,1066
84,881
85,1428
86,760
87,1250
88,1478
89,1100
90,1048
91,1141
92,909
93,1966
94,1522
95,1123
96,1002
97,1532
98,1224
99,958
