Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,1065,-886.0000000000067,-909.6999999999858,-948.9999999999895,-822.8000000000129,-1005.4000000000134,-963.7000000000007,-5536.6000000000095
10,1279,-1168.300000000004,-1096.99999999999,-1139.3999999999967,-1085.800000000013,-1205.899999999998,-1018.8999999999992,-6715.300000000001
20,1141,-1018.2000000000088,-974.3999999999838,-1027.4999999999916,-919.2000000000174,-1055.0000000000132,-958.6000000000028,-5952.900000000018
30,1120,-957.2000000000091,-957.4999999999841,-995.2999999999901,-910.4000000000166,-1052.7000000000157,-954.4000000000041,-5827.500000000019
40,1271,-1110.8000000000034,-1097.5999999999888,-1110.8999999999949,-1082.1000000000147,-1249.2999999999968,-1018.3000000000035,-6669.000000000003
50,1999,-2035.099999999931,-1255.3999999999987,-1260.4999999999986,-2139.2999999999224,-2182.1999999999193,-1281.9999999999982,-10154.499999999769
60,1999,-2060.3999999999305,-1277.599999999998,-1248.0999999999988,-2139.0999999999226,-2187.199999999919,-1288.5999999999979,-10200.999999999767
70,847,-620.9999999999993,-783.8000000000081,-694.9000000000077,-775.9000000000115,-696.0000000000044,-760.8000000000093,-4332.400000000041
80,562,-398.50000000000233,-509.8999999999996,-426.3999999999992,-478.8999999999995,-413.89999999999804,-448.60000000000434,-2676.200000000003
90,560,-388.4000000000019,-477.599999999996,-468.6000000000016,-462.6999999999975,-396.29999999999785,-413.30000000000365,-2606.8999999999987
100,622,-441.50000000000205,-559.5000000000042,-528.0000000000017,-521.5999999999963,-451.8999999999991,-515.1000000000056,-3017.6000000000085
110,494,-342.60000000000224,-406.2999999999976,-443.00000000000256,-399.2999999999975,-355.69999999999874,-369.9000000000029,-2316.8000000000015
120,442,-310.70000000000164,-363.49999999999955,-379.4000000000003,-359.69999999999885,-310.7000000000003,-331.00000000000205,-2055.0000000000027
130,513,-359.20000000000243,-416.29999999999905,-457.7000000000028,-417.59999999999764,-364.59999999999906,-374.80000000000365,-2390.200000000005
140,516,-347.10000000000076,-431.9999999999991,-471.70000000000385,-417.9999999999971,-379.49999999999983,-392.8000000000039,-2441.1000000000045
150,570,-404.50000000000193,-496.10000000000053,-495.5000000000048,-483.3,-403.09999999999883,-450.8000000000045,-2733.30000000001
160,544,-381.00000000000233,-439.7999999999965,-463.89999999999833,-443.6999999999974,-396.49999999999875,-452.70000000000186,-2577.599999999995
170,494,-351.50000000000114,-404.69999999999857,-439.4000000000023,-404.0999999999989,-360.90000000000003,-386.7000000000039,-2347.3000000000047
180,511,-357.6000000000007,-428.69999999999976,-441.6000000000008,-417.79999999999666,-393.0000000000006,-422.00000000000273,-2460.7000000000016
190,571,-422.7000000000012,-490.0999999999984,-516.7000000000044,-476.1999999999966,-459.1999999999994,-486.70000000000414,-2851.600000000004
200,510,-352.30000000000206,-417.5999999999973,-444.39999999999935,-413.69999999999783,-378.8999999999987,-417.90000000000254,-2424.799999999998
210,508,-359.2000000000018,-433.2999999999984,-454.1000000000029,-423.1999999999989,-396.4999999999998,-419.2000000000041,-2485.500000000006
