Episode,Steps
0,492
10,519
20,523
30,506
40,582
50,509
60,503
70,677
80,482
90,486
100,513
110,551
120,499
130,497
140,498
150,463
160,485
170,512
180,523
190,577
200,463
210,516
220,505
230,492
240,482
250,527
260,566
270,440
280,515
290,499
300,550
310,501
320,545
330,614
340,484
350,575
360,513
370,459
380,475
390,522
400,538
410,475
420,539
430,435
440,497
450,511
460,465
470,555
480,551
490,532
500,535
510,454
520,575
530,503
540,630
550,630
560,484
570,509
580,524
590,524
600,508
610,516
620,548
630,536
640,452
650,532
660,507
670,481
680,439
690,463
700,491
710,483
720,511
730,527
740,563
750,504
760,472
770,505
780,482
790,518
800,576
810,519
820,508
830,490
840,478
850,533
860,483
870,409
880,539
890,540
900,553
910,460
920,553
930,516
940,437
950,476
960,485
970,483
980,612
990,453
1000,544
1010,530
1020,552
1030,460
1040,449
1050,523
1060,483
1070,474
1080,526
1090,483
1100,685
1110,447
1120,461
1130,480
1140,558
1150,520
1160,460
1170,471
1180,601
1190,523
1200,492
1210,606
1220,515
1230,482
1240,457
1250,545
1260,504
1270,556
1280,512
1290,378
1300,481
1310,471
1320,531
1330,458
1340,461
1350,648
1360,499
1370,503
1380,458
1390,449
1400,463
1410,479
1420,519
1430,497
1440,474
1450,491
1460,541
1470,520
1480,512
1490,435
1500,544
1510,459
1520,447
1530,555
1540,441
1550,537
1560,510
1570,609
1580,459
1590,488
1600,553
1610,523
1620,483
1630,536
1640,453
1650,488
1660,515
1670,438
1680,475
1690,428
1700,466
1710,474
1720,594
1730,578
1740,463
1750,498
1760,594
1770,476
1780,503
1790,534
1800,490
1810,483
1820,446
1830,476
1840,526
1850,518
1860,489
1870,481
1880,468
1890,487
1900,491
1910,488
1920,502
1930,518
1940,529
1950,482
1960,521
1970,506
1980,571
1990,566
