Episode,Steps
0,493
10,295
20,466
30,425
40,536
50,336
60,476
70,693
80,420
90,362
100,526
110,385
120,367
130,406
140,467
150,470
160,464
170,502
180,463
190,596
200,440
210,507
220,415
230,421
240,327
250,335
260,453
270,400
280,462
290,431
300,516
310,391
320,341
330,617
340,519
350,393
360,349
370,357
380,387
390,422
400,372
410,463
420,515
430,346
440,428
450,489
460,405
470,445
480,516
490,477
500,294
510,333
520,602
530,501
540,642
550,476
560,280
570,590
580,385
590,490
600,388
610,505
620,511
630,560
640,410
650,549
660,429
670,493
680,356
690,341
700,419
710,475
720,484
730,475
740,612
750,384
760,394
770,366
780,484
790,387
800,524
810,445
820,449
830,467
840,470
850,491
860,429
870,256
880,401
890,529
900,551
910,434
920,434
930,533
940,466
950,267
960,432
970,395
980,561
990,308
1000,582
1010,459
1020,310
1030,336
1040,332
1050,470
1060,337
1070,446
1080,471
1090,387
1100,653
1110,433
1120,377
1130,368
1140,464
1150,381
1160,349
1170,375
1180,547
1190,547
1200,337
1210,607
1220,483
1230,407
1240,330
1250,370
1260,457
1270,547
1280,542
1290,262
1300,342
1310,305
1320,467
1330,497
1340,400
1350,639
1360,412
1370,411
1380,400
1390,267
1400,454
1410,359
1420,588
1430,320
1440,386
1450,453
1460,298
1470,484
1480,481
1490,377
1500,322
1510,312
1520,286
1530,344
1540,389
1550,369
1560,374
1570,620
1580,386
1590,485
1600,565
1610,347
1620,439
1630,463
1640,409
1650,338
1660,380
1670,330
1680,381
1690,291
1700,377
1710,425
1720,586
1730,590
1740,302
1750,386
1760,610
1770,468
1780,309
1790,468
1800,394
1810,267
1820,353
1830,273
1840,312
1850,439
1860,325
1870,435
1880,342
1890,410
1900,343
1910,391
1920,422
1930,367
1940,469
1950,479
1960,414
1970,246
1980,555
1990,532
