Episode,Steps
0,888
10,969
20,953
30,940
40,1019
50,830
60,859
70,1236
80,918
90,900
100,950
110,1009
120,825
130,892
140,871
150,873
160,885
170,895
180,881
190,986
200,916
210,907
220,929
230,908
240,1058
250,933
260,941
270,866
280,848
290,832
300,1016
310,909
320,849
330,1102
340,993
350,1051
360,985
370,854
380,795
390,905
400,1043
410,928
420,955
430,863
440,844
450,907
460,765
470,912
480,1009
490,922
500,921
510,882
520,1044
530,839
540,1066
550,1081
560,821
570,886
580,853
590,869
600,907
610,914
620,964
630,950
640,849
650,924
660,875
670,878
680,772
690,835
700,860
710,860
720,899
730,979
740,994
750,871
760,797
770,796
780,901
790,900
800,1027
810,938
820,864
830,890
840,834
850,918
860,894
870,880
880,910
890,1003
900,969
910,780
920,962
930,976
940,773
950,911
960,860
970,905
980,972
990,921
1000,947
1010,891
1020,943
1030,897
1040,796
1050,914
1060,882
1070,835
1080,901
1090,809
1100,1169
1110,805
1120,770
1130,826
1140,944
1150,916
1160,837
1170,942
1180,954
1190,881
1200,804
1210,1058
1220,970
1230,873
1240,836
1250,944
1260,963
1270,924
1280,883
1290,836
1300,826
1310,845
1320,902
1330,835
1340,792
1350,1177
1360,997
1370,815
1380,771
1390,905
1400,835
1410,843
1420,880
1430,909
1440,931
1450,877
1460,855
1470,854
1480,870
1490,813
1500,950
1510,827
1520,870
1530,976
1540,813
1550,908
1560,890
1570,1070
1580,822
1590,862
1600,996
1610,836
1620,833
1630,891
1640,829
1650,854
1660,980
1670,813
1680,788
1690,825
1700,803
1710,894
1720,1100
1730,1046
1740,881
1750,827
1760,1060
1770,851
1780,894
1790,946
1800,877
1810,866
1820,810
1830,901
1840,1040
1850,992
1860,963
1870,904
1880,865
1890,907
1900,812
1910,886
1920,911
1930,893
1940,907
1950,817
1960,869
1970,735
1980,1036
1990,1022
