Episode,Steps
0,1150
10,967
20,1068
30,997
40,1281
50,869
60,1051
70,1611
80,1035
90,906
100,1137
110,989
120,803
130,927
140,1117
150,1141
160,1101
170,1092
180,1004
190,1302
200,927
210,1144
220,962
230,938
240,939
250,915
260,1069
270,907
280,1017
290,1022
300,1234
310,848
320,887
330,1323
340,1194
350,980
360,956
370,805
380,865
390,918
400,1013
410,929
420,1251
430,786
440,1002
450,1208
460,960
470,950
480,1201
490,1101
500,870
510,786
520,1359
530,1034
540,1368
550,1303
560,819
570,1148
580,882
590,1125
600,958
610,1179
620,1240
630,1228
640,937
650,1192
660,1047
670,986
680,865
690,907
700,898
710,1116
720,1179
730,1140
740,1292
750,868
760,812
770,791
780,1091
790,965
800,1230
810,1064
820,1056
830,1007
840,1090
850,1151
860,933
870,802
880,943
890,1308
900,1247
910,975
920,919
930,1248
940,948
950,797
960,836
970,983
980,1294
990,891
1000,1233
1010,1054
1020,1050
1030,932
1040,779
1050,971
1060,880
1070,927
1080,1068
1090,865
1100,1518
1110,952
1120,840
1130,850
1140,916
1150,917
1160,770
1170,878
1180,1219
1190,1124
1200,786
1210,1383
1220,1089
1230,872
1240,805
1250,960
1260,1083
1270,1189
1280,1144
1290,747
1300,769
1310,823
1320,968
1330,965
1340,892
1350,1512
1360,1050
1370,987
1380,974
1390,884
1400,1050
1410,862
1420,1135
1430,840
1440,908
1450,983
1460,789
1470,1100
1480,1093
1490,964
1500,970
1510,828
1520,880
1530,952
1540,840
1550,868
1560,882
1570,1374
1580,936
1590,1008
1600,1300
1610,858
1620,976
1630,1008
1640,856
1650,833
1660,942
1670,850
1680,917
1690,791
1700,828
1710,935
1720,1335
1730,1320
1740,845
1750,897
1760,1392
1770,1002
1780,904
1790,1123
1800,940
1810,880
1820,798
1830,857
1840,948
1850,935
1860,825
1870,1039
1880,869
1890,912
1900,853
1910,924
1920,871
1930,928
1940,1109
1950,1019
1960,988
1970,765
1980,1307
1990,1247
