Episode,Steps
0,292
10,293
20,308
30,300
40,339
50,256
60,257
70,403
80,281
90,275
100,310
110,286
120,248
130,265
140,286
150,302
160,288
170,302
180,304
190,344
200,295
210,299
220,280
230,270
240,280
250,279
260,282
270,265
280,301
290,285
300,334
310,264
320,291
330,361
340,288
350,301
360,307
370,257
380,274
390,271
400,308
410,305
420,319
430,250
440,308
450,306
460,263
470,283
480,332
490,292
500,270
510,258
520,352
530,305
540,391
550,334
560,240
570,324
580,266
590,266
600,280
610,291
620,314
630,318
640,278
650,327
660,270
670,299
680,256
690,277
700,271
710,284
720,298
730,331
740,349
750,277
760,265
770,261
780,300
790,279
800,330
810,300
820,273
830,282
840,280
850,310
860,281
870,236
880,285
890,297
900,302
910,275
920,294
930,320
940,259
950,236
960,283
970,287
980,332
990,273
1000,304
1010,311
1020,283
1030,283
1040,228
1050,305
1060,247
1070,282
1080,286
1090,272
1100,388
1110,263
1120,260
1130,250
1140,324
1150,294
1160,253
1170,255
1180,352
1190,314
1200,280
1210,349
1220,295
1230,273
1240,261
1250,302
1260,298
1270,356
1280,320
1290,219
1300,262
1310,246
1320,273
1330,288
1340,257
1350,361
1360,297
1370,272
1380,270
1390,285
1400,262
1410,289
1420,339
1430,244
1440,278
1450,246
1460,246
1470,267
1480,281
1490,232
1500,293
1510,238
1520,278
1530,305
1540,234
1550,288
1560,306
1570,383
1580,263
1590,288
1600,337
1610,282
1620,285
1630,292
1640,267
1650,245
1660,275
1670,268
1680,265
1690,250
1700,276
1710,271
1720,344
1730,322
1740,259
1750,274
1760,340
1770,296
1780,260
1790,292
1800,292
1810,259
1820,236
1830,265
1840,288
1850,312
1860,262
1870,274
1880,270
1890,269
1900,258
1910,268
1920,283
1930,288
1940,335
1950,289
1960,282
1970,248
1980,335
1990,330
