Episode,Steps
0,1646
10,955
20,1574
30,1440
40,1813
50,1078
60,1527
70,1999
80,1391
90,1170
100,1659
110,1221
120,1172
130,1304
140,1543
150,1681
160,1530
170,1600
180,1446
190,1739
200,1341
210,1667
220,1412
230,1279
240,1075
250,1008
260,1501
270,1306
280,1424
290,1464
300,1724
310,1140
320,952
330,1911
340,1723
350,1233
360,948
370,1090
380,1221
390,1317
400,946
410,1277
420,1845
430,976
440,1401
450,1739
460,1293
470,1254
480,1752
490,1543
500,900
510,963
520,1989
530,1500
540,1974
550,1650
560,817
570,1673
580,1216
590,1597
600,1169
610,1701
620,1780
630,1800
640,1263
650,1729
660,1395
670,1467
680,1044
690,1111
700,1228
710,1620
720,1612
730,1640
740,1889
750,1192
760,1144
770,1084
780,1568
790,1244
800,1739
810,1420
820,1475
830,1424
840,1603
850,1630
860,1349
870,750
880,1146
890,1858
900,1803
910,1289
920,1279
930,1794
940,1372
950,811
960,1206
970,1344
980,1805
990,890
1000,1817
1010,1472
1020,957
1030,1130
1040,1010
1050,1279
1060,986
1070,1315
1080,1514
1090,1150
1100,1999
1110,1360
1120,1140
1130,997
1140,1278
1150,1044
1160,937
1170,1188
1180,1750
1190,1636
1200,979
1210,1935
1220,1628
1230,1177
1240,1054
1250,1151
1260,1528
1270,1687
1280,1651
1290,766
1300,1021
1310,948
1320,1402
1330,1398
1340,1205
1350,1999
1360,1407
1370,1387
1380,1257
1390,841
1400,1534
1410,1068
1420,1583
1430,1033
1440,1217
1450,1443
1460,875
1470,1571
1480,1560
1490,1215
1500,959
1510,904
1520,808
1530,913
1540,1188
1550,1153
1560,1092
1570,1982
1580,1332
1590,1479
1600,1909
1610,1057
1620,1385
1630,1442
1640,1252
1650,1119
1660,1139
1670,910
1680,1236
1690,888
1700,1138
1710,1211
1720,1934
1730,1865
1740,878
1750,1261
1760,1999
1770,1457
1780,906
1790,1652
1800,1331
1810,913
1820,1027
1830,868
1840,970
1850,1237
1860,878
1870,1444
1880,1107
1890,1076
1900,1076
1910,1212
1920,1145
1930,1090
1940,1572
1950,1478
1960,1316
1970,768
1980,1803
1990,1786
