Episode,Steps
0,604
10,504
20,606
30,602
40,701
50,451
60,591
70,852
80,552
90,481
100,652
110,521
120,443
130,522
140,592
150,645
160,606
170,651
180,571
190,693
200,562
210,638
220,530
230,529
240,520
250,501
260,574
270,521
280,573
290,602
300,688
310,503
320,493
330,747
340,629
350,551
360,489
370,455
380,516
390,516
400,582
410,523
420,667
430,493
440,560
450,650
460,510
470,546
480,700
490,602
500,492
510,452
520,745
530,598
540,755
550,719
560,453
570,640
580,513
590,630
600,557
610,659
620,673
630,645
640,529
650,660
660,570
670,582
680,468
690,473
700,542
710,596
720,655
730,664
740,712
750,471
760,467
770,505
780,590
790,491
800,676
810,572
820,569
830,582
840,571
850,663
860,532
870,423
880,532
890,698
900,671
910,519
920,503
930,695
940,531
950,469
960,532
970,517
980,672
990,479
1000,686
1010,571
1020,516
1030,502
1040,458
1050,530
1060,456
1070,515
1080,629
1090,525
1100,800
1110,512
1120,479
1130,488
1140,536
1150,516
1160,483
1170,498
1180,688
1190,648
1200,463
1210,782
1220,623
1230,512
1240,506
1250,486
1260,618
1270,667
1280,637
1290,400
1300,462
1310,484
1320,536
1330,583
1340,486
1350,829
1360,588
1370,576
1380,543
1390,484
1400,580
1410,479
1420,619
1430,491
1440,503
1450,533
1460,444
1470,613
1480,592
1490,510
1500,505
1510,436
1520,477
1530,507
1540,473
1550,486
1560,464
1570,784
1580,512
1590,570
1600,705
1610,505
1620,581
1630,583
1640,502
1650,451
1660,527
1670,480
1680,539
1690,438
1700,495
1710,497
1720,745
1730,723
1740,414
1750,514
1760,760
1770,544
1780,539
1790,603
1800,549
1810,475
1820,455
1830,472
1840,524
1850,565
1860,459
1870,556
1880,482
1890,534
1900,475
1910,535
1920,510
1930,488
1940,630
1950,562
1960,566
1970,486
1980,698
1990,682
