Episode,Steps
0,902
10,529
20,841
30,816
40,980
50,614
60,829
70,1262
80,765
90,648
100,866
110,696
120,627
130,687
140,845
150,915
160,832
170,883
180,755
190,957
200,775
210,899
220,742
230,698
240,617
250,570
260,822
270,682
280,784
290,785
300,927
310,618
320,517
330,1039
340,927
350,670
360,565
370,595
380,652
390,700
400,539
410,719
420,964
430,573
440,800
450,911
460,694
470,708
480,967
490,832
500,508
510,546
520,1060
530,817
540,1068
550,894
560,467
570,902
580,666
590,845
600,631
610,911
620,946
630,955
640,705
650,938
660,772
670,809
680,582
690,608
700,674
710,861
720,854
730,856
740,1010
750,662
760,642
770,643
780,833
790,703
800,935
810,797
820,780
830,751
840,842
850,894
860,740
870,435
880,655
890,982
900,949
910,729
920,709
930,968
940,741
950,431
960,685
970,678
980,942
990,505
1000,950
1010,771
1020,536
1030,618
1040,556
1050,723
1060,533
1070,710
1080,818
1090,636
1100,1168
1110,723
1120,627
1130,571
1140,720
1150,598
1160,550
1170,664
1180,956
1190,884
1200,531
1210,1033
1220,889
1230,674
1240,599
1250,655
1260,838
1270,940
1280,885
1290,416
1300,586
1310,539
1320,790
1330,765
1340,660
1350,1191
1360,734
1370,729
1380,723
1390,451
1400,797
1410,599
1420,896
1430,569
1440,650
1450,763
1460,516
1470,866
1480,873
1490,694
1500,530
1510,502
1520,482
1530,542
1540,658
1550,636
1560,599
1570,1072
1580,714
1590,773
1600,1010
1610,576
1620,766
1630,796
1640,667
1650,619
1660,675
1670,521
1680,715
1690,498
1700,633
1710,671
1720,1071
1730,1027
1740,499
1750,701
1760,1069
1770,764
1780,526
1790,852
1800,746
1810,478
1820,593
1830,470
1840,520
1850,694
1860,498
1870,781
1880,578
1890,611
1900,598
1910,671
1920,645
1930,611
1940,878
1950,828
1960,714
1970,421
1980,953
1990,960
