Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
160,1999,-2013.9999999999584,-2016.8999999999858,-2136.7999999999224,-2152.999999999921,-1885.7000000000494,-2152.999999999921,-2140.0999999999217,-2031.799999999976,-2075.899999999948,-2148.699999999921,-2145.9999999999213,-2129.199999999924,-25031.09999999937
170,1999,-1995.0999999999708,-2044.9999999999789,-2153.9999999999204,-2153.9999999999204,-1914.9000000000378,-2153.9999999999204,-2133.499999999925,-2026.6999999999784,-2050.1999999999603,-2141.799999999921,-2136.7999999999215,-2109.5999999999303,-25015.599999999384
180,1999,-1957.0999999999926,-2022.8999999999724,-2123.799999999923,-2139.999999999921,-1936.5000000000261,-2139.999999999921,-2120.8999999999246,-2023.5999999999744,-2036.899999999966,-2111.6999999999307,-2110.1999999999307,-2097.7999999999292,-24821.399999999412
190,1999,-1979.4999999999766,-2020.3999999999796,-2134.1999999999207,-2144.999999999921,-1914.800000000037,-2144.999999999921,-2128.899999999924,-2039.6999999999734,-2061.7999999999506,-2131.2999999999233,-2129.2999999999233,-2095.599999999931,-24925.499999999385
200,1999,-1972.0999999999835,-2022.0999999999763,-2144.9999999999204,-2144.9999999999204,-1914.7000000000332,-2144.9999999999204,-2115.99999999993,-2019.1999999999762,-2015.4999999999814,-2126.599999999922,-2126.599999999922,-2103.899999999933,-24851.69999999942
210,1999,-1981.5999999999754,-1994.1999999999784,-2115.8999999999282,-2142.999999999921,-1896.4000000000435,-2142.999999999921,-2113.5999999999276,-2019.299999999977,-2016.399999999974,-2131.799999999921,-2131.0999999999212,-2092.7999999999333,-24779.099999999424
220,1999,-1930.099999999995,-1959.699999999984,-2042.6999999999343,-2116.9999999999222,-1928.7000000000069,-2116.9999999999222,-2090.4999999999313,-2008.7999999999681,-2023.8999999999637,-2094.39999999993,-2086.999999999932,-2085.499999999935,-24485.29999999942
230,1999,-1934.8999999999944,-1957.8999999999862,-2073.2999999999265,-2120.9999999999222,-1894.0000000000182,-2120.9999999999222,-2104.6999999999275,-1995.8999999999733,-2039.4999999999554,-2104.499999999929,-2111.5999999999244,-2085.499999999934,-24543.799999999414
240,1999,-1932.5999999999926,-1939.0999999999908,-2048.799999999949,-2116.999999999922,-1914.700000000011,-2116.999999999922,-2083.799999999936,-2001.6999999999723,-1986.5999999999763,-2097.199999999927,-2095.099999999928,-2051.999999999947,-24385.599999999475
250,1999,-1926.3999999999924,-1934.5999999999976,-2010.6999999999334,-2110.9999999999227,-1894.5000000000193,-2110.9999999999227,-2099.899999999926,-1965.5999999999844,-2012.899999999964,-2077.699999999935,-2073.199999999936,-2084.59999999993,-24302.099999999464
260,1999,-1932.4999999999923,-1935.2999999999947,-2012.899999999948,-2113.9999999999227,-1880.0000000000196,-2113.9999999999227,-2099.1999999999257,-1988.3999999999787,-2040.199999999951,-2101.0999999999303,-2101.999999999927,-2088.499999999929,-24408.09999999944
270,1999,-1912.9999999999984,-1906.5999999999976,-1949.4999999999782,-2072.4999999999277,-1884.2000000000132,-2097.999999999923,-2081.6999999999275,-1954.9999999999827,-1980.5999999999708,-2061.2999999999383,-2060.699999999938,-2070.5999999999303,-24033.699999999524
280,1999,-1897.4999999999927,-1889.7999999999984,-1928.9999999999725,-1996.59999999995,-1915.0000000000146,-2082.999999999924,-2064.599999999926,-1949.8999999999814,-2001.89999999995,-2059.4999999999354,-2044.0999999999372,-2040.2999999999286,-23871.19999999951
290,1999,-1916.3999999999953,-1916.1999999999966,-1964.1999999999657,-2097.599999999927,-1929.1000000000106,-2101.999999999923,-2078.5999999999276,-1971.0999999999785,-1988.6999999999725,-2067.4999999999345,-2059.499999999937,-2058.399999999936,-24149.299999999508
300,1999,-1895.099999999997,-1890.7999999999975,-1911.7999999999897,-2000.2999999999597,-1909.7999999999906,-2082.999999999924,-2069.099999999931,-1940.1999999999807,-1978.8999999999644,-2043.9999999999404,-2038.499999999943,-2054.099999999937,-23815.599999999555
