Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-1998.7999999999306,-1819.3999999999799,-2002.399999999988,-5820.5999999998985
10,1999,-2100.9999999999263,-1834.0999999999588,-1967.6000000000117,-5902.699999999897
20,1999,-1999.7999999999306,-1817.9999999999798,-2018.1999999999878,-5835.999999999898
30,921,-425.3999999999984,-631.8,-619.800000000002,-1677.0000000000005
40,1019,-553.9000000000018,-754.8999999999992,-725.6000000000095,-2034.4000000000106
50,830,-380.09999999999974,-575.4000000000029,-555.6999999999974,-1511.2000000000003
60,859,-409.6000000000005,-584.2000000000015,-573.9999999999984,-1567.8000000000004
70,1236,-807.000000000008,-999.2000000000089,-1051.7000000000116,-2857.9000000000287
80,824,-380.7999999999998,-556.1000000000023,-544.4999999999965,-1481.3999999999987
90,899,-398.79999999999876,-595.2,-593.3999999999997,-1587.3999999999987
100,938,-473.49999999999955,-699.7,-645.5000000000042,-1818.700000000004
110,1061,-479.0999999999998,-712.3999999999946,-701.6000000000063,-1893.1000000000008
120,774,-351.300000000001,-494.10000000000366,-513.6999999999945,-1359.099999999999
130,904,-408.90000000000003,-622.1000000000005,-608.9000000000007,-1639.900000000001
140,871,-421.5000000000002,-601.9000000000028,-589.0000000000002,-1612.4000000000033
150,946,-466.60000000000065,-642.4000000000012,-697.1000000000078,-1806.1000000000095
160,989,-465.4999999999998,-697.9999999999967,-665.2000000000054,-1828.7000000000016
170,895,-435.6000000000005,-629.100000000001,-623.8000000000021,-1688.5000000000036
180,875,-397.6999999999982,-643.1999999999995,-587.5999999999992,-1628.499999999997
190,1001,-552.7000000000012,-751.499999999999,-738.2000000000098,-2042.40000000001
200,833,-381.10000000000036,-576.5000000000025,-557.3999999999977,-1515.0000000000005
210,907,-454.0999999999998,-671.7000000000006,-640.6000000000015,-1766.400000000002
220,900,-405.89999999999856,-619.5000000000003,-597.9,-1623.2999999999988
230,872,-401.29999999999984,-557.7000000000022,-582.6999999999989,-1541.700000000001
240,1005,-443.4999999999975,-692.3999999999968,-664.6000000000046,-1800.4999999999986
250,962,-422.6999999999993,-680.6000000000024,-633.1000000000021,-1736.4000000000037
260,922,-414.29999999999916,-626.4000000000013,-613.5000000000011,-1654.2000000000016
270,848,-381.2999999999985,-561.4000000000027,-561.4999999999977,-1504.199999999999
280,848,-394.3999999999997,-586.6000000000022,-578.2999999999998,-1559.3000000000015
290,805,-368.6999999999991,-550.1000000000035,-557.7999999999976,-1476.6000000000004
300,970,-483.10000000000036,-689.2999999999989,-667.700000000004,-1840.100000000003
310,865,-384.39999999999907,-577.8000000000034,-569.7999999999978,-1532.0000000000002
320,931,-410.2999999999994,-639.0999999999985,-619.6000000000009,-1668.9999999999986
330,1063,-538.0,-807.6000000000004,-797.8000000000121,-2143.4000000000124
340,993,-557.5000000000035,-697.6999999999995,-694.8000000000051,-1950.0000000000082
350,1033,-443.29999999999836,-678.4999999999973,-679.6000000000054,-1801.400000000001
360,905,-390.99999999999784,-583.5000000000006,-596.2,-1570.6999999999985
370,853,-385.5999999999987,-573.9000000000025,-565.999999999998,-1525.499999999999
380,760,-350.29999999999905,-523.7000000000046,-518.2999999999954,-1392.299999999999
390,830,-369.0999999999986,-588.6000000000054,-554.8999999999974,-1512.6000000000013
400,1075,-452.8999999999984,-689.7999999999972,-707.0000000000078,-1849.7000000000035
410,936,-410.29999999999893,-668.8000000000034,-623.7000000000019,-1702.800000000004
420,955,-543.0000000000043,-726.8000000000028,-726.6000000000075,-1996.4000000000146
430,836,-389.09999999999826,-562.9000000000019,-562.4999999999982,-1514.4999999999984
440,825,-378.2999999999997,-574.9000000000035,-554.5999999999974,-1507.8000000000006
450,929,-500.1000000000023,-728.0000000000042,-680.0000000000039,-1908.1000000000104
460,730,-363.9000000000003,-491.60000000000207,-500.89999999999554,-1356.3999999999978
470,879,-375.3999999999985,-582.2000000000029,-577.1999999999988,-1534.8000000000002
480,1009,-532.9000000000015,-774.9000000000025,-752.0000000000135,-2059.8000000000175
490,896,-456.40000000000055,-660.6,-628.7000000000047,-1745.7000000000053
500,950,-419.49999999999926,-642.4999999999989,-624.7000000000018,-1686.6999999999998
510,815,-374.0000000000006,-565.7000000000032,-544.5999999999964,-1484.3000000000002
520,1044,-529.5000000000011,-794.4000000000048,-764.1000000000046,-2088.0000000000105
530,827,-380.89999999999844,-578.900000000003,-567.1999999999997,-1527.0000000000014
540,1066,-626.100000000004,-846.1000000000064,-836.5000000000067,-2308.700000000017
550,1069,-619.5000000000005,-761.3999999999968,-787.400000000019,-2168.3000000000166
560,820,-374.9999999999982,-531.500000000004,-542.8999999999965,-1449.3999999999987
570,886,-404.79999999999944,-634.200000000007,-631.0999999999974,-1670.1000000000038
580,840,-370.299999999999,-535.4000000000038,-556.2999999999975,-1462.0000000000002
590,866,-466.29999999999893,-646.1000000000043,-611.3000000000013,-1723.7000000000046
600,906,-393.49999999999864,-595.3000000000042,-601.1,-1589.9000000000028
610,914,-462.50000000000097,-674.300000000004,-648.7000000000039,-1785.5000000000089
620,964,-539.000000000002,-690.9000000000002,-666.9000000000053,-1896.8000000000077
630,950,-496.10000000000065,-746.0000000000068,-722.7000000000085,-1964.8000000000159
640,839,-378.69999999999897,-540.4000000000028,-555.1999999999971,-1474.2999999999988
650,924,-431.39999999999844,-685.5000000000081,-661.3000000000011,-1778.2000000000075
660,865,-401.9000000000001,-591.6000000000013,-576.5999999999988,-1570.1000000000001
670,869,-420.9999999999999,-599.6000000000016,-591.9999999999998,-1612.6000000000013
680,834,-380.4999999999981,-552.5000000000042,-557.0999999999977,-1490.1
690,855,-388.7999999999986,-552.5000000000027,-568.199999999998,-1509.4999999999993
700,849,-372.7000000000002,-556.5000000000032,-563.3999999999977,-1492.6000000000013
710,860,-480.20000000000346,-596.8000000000029,-613.100000000001,-1690.1000000000074
720,926,-503.3000000000009,-680.3999999999994,-657.1000000000064,-1840.8000000000065
730,937,-422.2999999999993,-623.100000000001,-628.4000000000017,-1673.800000000002
740,994,-587.3000000000028,-762.100000000004,-769.7000000000131,-2119.10000000002
750,890,-406.0000000000001,-597.0000000000002,-595.8999999999996,-1598.9
760,812,-365.69999999999845,-547.5000000000048,-543.4999999999966,-1456.6999999999998
