Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
10,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
20,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
30,602,-444.0000000000031,-511.4999999999985,-540.2000000000025,-496.29999999999586,-486.300000000002,-523.9000000000042,-3002.200000000006
40,701,-550.6000000000045,-612.6999999999972,-647.6000000000008,-626.6000000000026,-612.1000000000038,-635.5000000000056,-3685.100000000014
50,451,-316.9000000000022,-369.39999999999867,-377.19999999999914,-366.49999999999864,-344.60000000000065,-368.20000000000124,-2142.8000000000006
60,591,-479.20000000000357,-504.89999999999736,-517.4999999999983,-516.400000000001,-502.000000000004,-535.4000000000053,-3055.4000000000096
70,852,-719.000000000005,-791.5000000000024,-821.5000000000064,-785.0000000000013,-814.8000000000118,-828.300000000011,-4760.100000000038
80,552,-395.50000000000216,-462.89999999999606,-494.9000000000001,-456.99999999999613,-447.90000000000003,-479.3000000000038,-2737.499999999998
90,481,-332.9000000000016,-389.69999999999806,-400.1999999999986,-388.3999999999979,-357.89999999999895,-381.7000000000024,-2250.7999999999975
100,652,-530.4000000000021,-569.0999999999977,-585.3000000000006,-581.7999999999985,-579.6000000000041,-571.000000000003,-3417.200000000006
110,556,-386.2000000000035,-446.5999999999967,-470.99999999999824,-443.59999999999616,-418.2999999999975,-466.70000000000135,-2632.3999999999933
120,443,-322.40000000000214,-367.7000000000002,-376.2999999999998,-367.09999999999997,-346.7000000000024,-358.7000000000026,-2138.900000000007
130,540,-407.9000000000038,-453.59999999999906,-466.69999999999817,-445.19999999999715,-447.0000000000022,-463.200000000003,-2683.600000000003
140,593,-450.30000000000234,-506.7999999999986,-549.200000000002,-496.19999999999624,-520.8000000000034,-509.90000000000435,-3033.2000000000066
150,645,-494.3000000000036,-560.2999999999989,-600.8000000000061,-580.6000000000035,-553.900000000005,-578.4000000000057,-3368.300000000023
160,609,-471.8000000000048,-530.0999999999999,-541.8000000000014,-516.1999999999964,-511.7000000000022,-546.700000000004,-3118.3000000000084
170,651,-507.70000000000203,-565.5999999999997,-567.8999999999986,-580.7000000000036,-550.8000000000053,-602.7000000000052,-3375.400000000014
180,571,-418.60000000000144,-486.99999999999693,-513.5000000000031,-500.0999999999979,-488.10000000000167,-503.00000000000375,-2910.3000000000043
190,693,-532.9000000000005,-633.0000000000017,-634.0000000000024,-622.8000000000008,-614.4000000000045,-647.4000000000066,-3684.5000000000164
200,557,-437.100000000003,-473.29999999999836,-490.09999999999957,-479.70000000000095,-473.50000000000176,-478.40000000000435,-2832.1000000000076
210,638,-496.600000000003,-566.9000000000011,-561.4999999999977,-559.1000000000001,-570.1000000000053,-596.8000000000063,-3351.0000000000136
220,538,-391.8000000000015,-449.29999999999814,-484.300000000003,-458.09999999999866,-449.5000000000031,-441.60000000000355,-2674.600000000008
230,529,-398.70000000000266,-447.29999999999734,-464.89999999999907,-445.09999999999775,-426.1999999999982,-429.30000000000246,-2611.4999999999977
240,552,-381.5000000000029,-445.5999999999967,-466.8999999999979,-442.2999999999966,-415.299999999998,-440.20000000000226,-2591.7999999999943
250,482,-332.80000000000206,-385.69999999999834,-388.4999999999977,-392.19999999999953,-344.09999999999974,-392.50000000000256,-2235.8
260,575,-412.3000000000024,-491.3999999999988,-498.59999999999974,-490.4999999999994,-478.10000000000315,-497.9000000000046,-2868.800000000008
270,471,-338.90000000000157,-399.89999999999884,-420.1000000000007,-386.69999999999817,-384.20000000000147,-400.0000000000033,-2329.800000000004
280,573,-419.3000000000007,-505.20000000000243,-511.1000000000016,-480.49999999999704,-482.6000000000018,-498.10000000000406,-2896.800000000008
290,570,-414.3000000000021,-489.59999999999764,-502.5999999999992,-497.69999999999965,-499.1000000000056,-514.5000000000065,-2917.8000000000106
300,688,-523.1000000000023,-587.6999999999965,-609.8999999999967,-601.6999999999991,-611.4000000000041,-604.8000000000029,-3538.6000000000017
310,481,-342.60000000000076,-408.1,-410.999999999998,-396.8999999999987,-377.8000000000011,-381.6000000000022,-2318.000000000001
320,499,-358.400000000003,-414.59999999999917,-425.7999999999991,-403.89999999999765,-386.8000000000003,-417.200000000002,-2406.700000000001
330,747,-598.2000000000046,-660.0999999999999,-700.3000000000036,-660.1000000000006,-653.5000000000057,-674.8000000000033,-3947.0000000000177
340,651,-507.2000000000043,-562.0999999999988,-588.9999999999997,-590.1000000000026,-565.9000000000059,-583.6000000000053,-3397.900000000017
350,534,-356.8000000000015,-426.7999999999971,-435.6999999999965,-426.3999999999966,-401.2999999999989,-423.2000000000022,-2470.199999999993
360,486,-328.2000000000005,-384.89999999999793,-409.4999999999982,-386.0999999999977,-344.39999999999947,-359.5000000000031,-2212.5999999999967
370,459,-319.6000000000015,-374.4999999999984,-384.3999999999976,-372.79999999999814,-351.3999999999994,-364.6000000000021,-2167.299999999997
380,491,-362.90000000000015,-423.6999999999977,-433.20000000000175,-431.1999999999999,-406.29999999999905,-419.60000000000156,-2476.9
390,523,-378.7000000000005,-443.7999999999985,-449.99999999999886,-438.09999999999906,-422.6000000000035,-442.0000000000042,-2575.2000000000044
400,558,-373.7000000000025,-444.1999999999971,-457.49999999999665,-442.5999999999963,-409.2999999999979,-451.70000000000255,-2578.9999999999927
410,570,-412.5000000000009,-488.0000000000001,-494.9999999999998,-488.80000000000143,-460.5000000000019,-481.30000000000297,-2826.100000000007
420,659,-500.9000000000025,-597.8000000000018,-613.9000000000035,-585.9999999999997,-592.5000000000075,-635.5000000000073,-3526.600000000022
430,459,-322.50000000000125,-387.900000000001,-394.6000000000008,-385.3000000000007,-361.00000000000006,-384.60000000000196,-2235.900000000006
440,590,-451.30000000000297,-514.4999999999991,-528.3000000000011,-510.49999999999943,-492.6000000000038,-530.8000000000048,-3028.000000000011
450,680,-548.1000000000035,-617.3999999999997,-625.5000000000007,-615.0000000000015,-602.600000000003,-625.7000000000046,-3634.300000000013
460,520,-408.4000000000017,-467.20000000000107,-463.4999999999989,-444.49999999999716,-470.5000000000023,-471.9000000000031,-2726.0000000000045
470,485,-329.0000000000009,-395.69999999999965,-420.700000000001,-392.3999999999985,-369.50000000000176,-377.8000000000029,-2285.100000000005
480,693,-536.4000000000046,-622.3000000000008,-635.8000000000034,-625.6000000000035,-611.4000000000038,-622.3000000000015,-3653.8000000000175
490,602,-491.70000000000454,-534.499999999997,-552.2000000000029,-527.2000000000008,-513.300000000001,-527.5000000000045,-3146.400000000011
