Episode,Steps
0,1646
1,1563
2,1078
3,1703
4,1307
5,1598
6,1098
7,1669
8,1708
9,1864
10,898
11,1307
12,1048
13,894
14,968
15,1239
16,906
17,819
18,1144
19,1285
20,1554
21,1547
22,1596
23,1526
24,1003
25,1226
26,1575
27,755
28,920
29,1999
30,1438
31,1186
32,1505
33,1340
34,1738
35,1501
36,1122
37,1534
38,932
39,1049
40,1815
41,1217
42,1079
43,1074
44,1403
45,1615
46,1374
47,1113
48,1364
49,1128
50,1074
51,1305
52,1130
53,880
54,846
55,1498
56,1261
57,1667
58,1999
59,1139
60,1543
61,975
62,1414
63,848
64,950
65,943
66,1485
67,1379
68,761
69,1680
70,1999
71,1459
72,1395
73,1632
74,1812
75,1958
76,1040
77,1085
78,1336
79,1421
80,1356
81,1964
82,1999
83,1275
84,979
85,1631
86,899
87,1498
88,1720
89,1284
90,1146
91,1260
92,968
93,1999
94,1797
95,1310
96,1182
97,1808
98,1454
99,927
