Episode,Steps
0,455
1,527
2,486
3,499
4,497
5,479
6,502
7,516
8,509
9,491
10,509
11,531
12,478
13,522
14,536
15,428
16,487
17,440
18,539
19,490
20,544
21,502
22,552
23,545
24,489
25,507
26,549
27,514
28,508
29,559
30,504
31,461
32,532
33,486
34,570
35,514
36,503
37,492
38,437
39,541
40,541
41,484
42,471
43,529
44,582
45,466
46,483
47,483
48,528
49,446
50,560
51,506
52,448
53,500
54,519
55,471
56,488
57,565
58,537
59,497
60,516
61,458
62,529
63,514
64,514
65,539
66,541
67,529
68,482
69,502
70,508
71,450
72,511
73,538
74,523
75,490
76,466
77,496
78,491
79,469
80,493
81,545
82,523
83,525
84,434
85,518
86,434
87,484
88,522
89,510
90,487
91,525
92,521
93,448
94,537
95,476
96,465
97,489
98,471
99,545
