Episode,Steps
0,453
1,520
2,471
3,523
4,490
5,460
6,459
7,491
8,519
9,532
10,532
11,519
12,529
13,475
14,515
15,488
16,486
17,424
18,511
19,453
20,540
21,501
22,545
23,484
24,540
25,514
26,478
27,505
28,493
29,540
30,531
31,467
32,540
33,506
34,527
35,502
36,493
37,519
38,493
39,497
40,533
41,482
42,482
43,475
44,506
45,520
46,493
47,438
48,480
49,461
50,450
51,519
52,446
53,541
54,498
55,479
56,448
57,497
58,555
59,517
60,480
61,427
62,523
63,535
64,522
65,532
66,526
67,508
68,486
69,485
70,564
71,491
72,538
73,518
74,519
75,544
76,471
77,512
78,455
79,517
80,508
81,540
82,564
83,518
84,514
85,499
86,434
87,515
88,471
89,524
90,468
91,541
92,458
93,596
94,474
95,471
96,479
97,499
98,456
99,487
