Episode,Steps
0,444
1,549
2,505
3,550
4,450
5,477
6,453
7,480
8,505
9,510
10,549
11,520
12,498
13,510
14,516
15,471
16,496
17,464
18,502
19,512
20,493
21,488
22,542
23,513
24,485
25,484
26,540
27,541
28,502
29,549
30,524
31,428
32,554
33,517
34,510
35,533
36,528
37,470
38,493
39,517
40,509
41,457
42,499
43,486
44,569
45,521
46,477
47,472
48,509
49,460
50,497
51,496
52,451
53,506
54,492
55,449
56,490
57,548
58,588
59,542
60,464
61,409
62,513
63,488
64,519
65,553
66,532
67,535
68,452
69,475
70,527
71,479
72,526
73,507
74,530
75,543
76,447
77,490
78,441
79,488
80,506
81,557
82,549
83,487
84,474
85,477
86,434
87,502
88,511
89,495
90,502
91,546
92,486
93,501
94,474
95,504
96,494
97,476
98,466
99,459
