Episode,Steps
0,492
1,529
2,483
3,565
4,447
5,491
6,460
7,561
8,575
9,544
10,519
11,490
12,499
13,462
14,506
15,481
16,506
17,452
18,442
19,456
20,523
21,523
22,543
23,520
24,504
25,484
26,513
27,553
28,521
29,656
30,506
31,452
32,529
33,497
34,568
35,548
36,511
37,528
38,453
39,521
40,582
41,496
42,528
43,463
44,553
45,501
46,505
47,439
48,475
49,463
50,509
51,555
52,453
53,507
54,526
55,488
56,449
57,516
58,652
59,509
60,503
61,428
62,503
63,467
64,478
65,511
66,550
67,545
68,462
69,523
70,677
71,479
72,552
73,549
74,581
75,585
76,482
77,478
78,479
79,533
80,482
81,530
82,707
83,503
84,479
85,552
86,407
87,505
88,541
89,529
90,486
91,497
92,478
93,663
94,530
95,504
96,487
97,534
98,512
99,514
