Episode,Steps
0,604
1,618
2,471
3,675
4,508
5,620
6,462
7,674
8,710
9,667
10,504
11,533
12,474
13,459
14,501
15,505
16,488
17,427
18,466
19,485
20,606
21,621
22,595
23,599
24,509
25,506
26,574
27,516
28,509
29,804
30,602
31,453
32,620
33,559
34,680
35,604
36,528
37,630
38,463
39,497
40,701
41,508
42,547
43,528
44,565
45,639
46,565
47,524
48,565
49,447
50,451
51,509
52,462
53,520
54,515
55,548
56,505
57,637
58,847
59,480
60,591
61,441
62,537
63,479
64,514
65,525
66,621
67,606
68,468
69,669
70,852
71,586
72,569
73,693
74,726
75,721
76,492
77,484
78,555
79,575
80,552
81,694
82,906
83,552
84,473
85,649
86,382
87,610
88,659
89,523
90,481
91,575
92,498
93,842
94,721
95,535
96,466
97,657
98,584
99,501
