Episode,Steps
0,984
1,911
2,618
3,1008
4,759
5,939
6,718
7,990
8,1020
9,1053
10,587
11,756
12,652
13,565
14,619
15,738
16,578
17,524
18,668
19,739
20,890
21,930
22,925
23,906
24,642
25,752
26,907
27,514
28,583
29,1250
30,887
31,728
32,887
33,856
34,1029
35,950
36,689
37,937
38,578
39,702
40,1069
41,767
42,664
43,684
44,825
45,966
46,826
47,690
48,796
49,632
50,665
51,766
52,664
53,572
54,521
55,865
56,787
57,982
58,1311
59,684
60,908
61,593
62,854
63,520
64,554
65,527
66,909
67,880
68,514
69,981
70,1387
71,861
72,827
73,973
74,1091
75,1162
76,666
77,650
78,833
79,863
80,835
81,1142
82,1399
83,767
84,617
85,968
86,549
87,892
88,1011
89,779
90,673
91,776
92,620
93,1345
94,1069
95,788
96,717
97,1076
98,848
99,577
