Episode,Steps
0,480
1,548
2,524
3,528
4,491
5,451
6,468
7,502
8,472
9,508
10,514
11,545
12,479
13,478
14,508
15,459
16,512
17,456
18,514
19,458
20,543
21,543
22,573
23,543
24,532
25,513
26,507
27,506
28,498
29,575
30,546
31,464
32,545
33,514
34,596
35,546
36,518
37,500
38,484
39,522
40,491
41,490
42,526
43,510
44,524
45,494
46,491
47,459
48,493
49,452
50,469
51,521
52,459
53,502
54,505
55,524
56,447
57,525
58,533
59,535
60,487
61,413
62,504
63,467
64,531
65,528
66,519
67,548
68,465
69,521
70,526
71,433
72,538
73,487
74,511
75,513
76,488
77,501
78,458
79,492
80,478
81,511
82,518
83,487
84,488
85,443
86,396
87,492
88,485
89,507
90,489
91,526
92,519
93,498
94,509
95,506
96,497
97,503
98,481
99,499
