Episode,Steps
0,1398
1,1319
2,923
3,1437
4,1102
5,1351
6,941
7,1402
8,1450
9,1566
10,766
11,1113
12,900
13,787
14,862
15,1050
16,798
17,688
18,966
19,1088
20,1313
21,1315
22,1349
23,1289
24,875
25,1049
26,1324
27,649
28,811
29,1826
30,1205
31,1013
32,1273
33,1184
34,1468
35,1286
36,956
37,1339
38,790
39,899
40,1529
41,1073
42,919
43,917
44,1186
45,1364
46,1171
47,972
48,1156
49,919
50,921
51,1114
52,969
53,756
54,690
55,1261
56,1077
57,1425
58,1918
59,971
60,1292
61,832
62,1196
63,711
64,818
65,805
66,1263
67,1183
68,668
69,1426
70,1999
71,1232
72,1182
73,1385
74,1529
75,1651
76,854
77,922
78,1133
79,1218
80,1148
81,1656
82,1999
83,1082
84,812
85,1364
86,765
87,1262
88,1456
89,1095
90,966
91,1053
92,837
93,1956
94,1524
95,1121
96,1011
97,1534
98,1189
99,790
