Episode,Steps
0,1088
1,1013
2,732
3,1115
4,845
5,1042
6,746
7,1083
8,1085
9,1193
10,601
11,833
12,714
13,618
14,626
15,818
16,633
17,541
18,743
19,818
20,1027
21,1027
22,1028
23,992
24,677
25,826
26,1012
27,519
28,652
29,1394
30,938
31,801
32,984
33,883
34,1139
35,1005
36,757
37,1002
38,592
39,763
40,1173
41,844
42,735
43,748
44,915
45,1074
46,911
47,757
48,896
49,704
50,690
51,875
52,756
53,601
54,568
55,964
56,848
57,1093
58,1462
59,755
60,995
61,653
62,929
63,583
64,603
65,633
66,986
67,964
68,527
69,1090
70,1543
71,962
72,915
73,1076
74,1208
75,1322
76,708
77,718
78,911
79,932
80,921
81,1271
82,1556
83,839
84,676
85,1055
86,595
87,984
88,1108
89,862
90,749
91,870
92,676
93,1500
94,1183
95,868
96,793
97,1190
98,910
99,629
