Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2084.6999999999275,-2150.799999999922,-2195.999999999918,-6431.499999999767
10,1999,-2164.099999999921,-2062.399999999931,-2170.9999999999204,-6397.499999999773
20,1999,-1953.799999999934,-2043.0999999999306,-2185.999999999919,-6182.899999999783
30,1999,-2168.3999999999205,-2120.399999999924,-2162.999999999921,-6451.7999999997655
40,1127,-623.200000000003,-928.400000000004,-827.0000000000133,-2378.6000000000204
50,878,-405.1999999999998,-630.4000000000013,-596.0999999999995,-1631.7000000000007
60,914,-513.7000000000031,-634.8000000000021,-646.1000000000049,-1794.6000000000101
70,1397,-948.7000000000097,-1195.5000000000005,-1237.7999999999988,-3382.000000000009
80,884,-446.10000000000105,-615.000000000001,-603.7000000000016,-1664.8000000000038
90,927,-413.0999999999984,-636.3000000000005,-616.0000000000015,-1665.4000000000005
100,1054,-638.400000000002,-791.5,-751.3000000000119,-2181.200000000014
110,1034,-464.69999999999897,-712.499999999995,-686.9000000000058,-1864.0999999999997
120,804,-373.3000000000013,-568.8000000000056,-536.0999999999957,-1478.2000000000025
130,943,-442.40000000000015,-693.1000000000043,-633.0000000000019,-1768.5000000000064
140,982,-493.2999999999998,-727.2000000000024,-704.3000000000056,-1924.800000000008
150,1018,-588.5000000000043,-768.9000000000053,-755.9000000000021,-2113.300000000012
160,947,-498.0000000000017,-681.0000000000019,-668.6000000000025,-1847.6000000000063
170,973,-491.8000000000007,-733.0000000000063,-732.2000000000035,-1957.0000000000105
180,898,-449.19999999999953,-671.599999999999,-616.5000000000019,-1737.3000000000006
190,1099,-618.1000000000008,-893.2000000000046,-878.8000000000123,-2390.1000000000176
200,937,-458.10000000000105,-671.000000000001,-684.8000000000013,-1813.9000000000035
210,995,-559.6000000000021,-724.6000000000006,-766.0000000000084,-2050.2000000000107
220,893,-417.09999999999906,-625.1000000000007,-616.4000000000027,-1658.6000000000026
230,884,-412.2999999999991,-624.1000000000012,-598.5000000000003,-1634.9000000000005
240,974,-423.29999999999734,-646.7000000000012,-645.5000000000033,-1715.5000000000018
250,921,-404.9000000000007,-629.2000000000032,-605.8000000000003,-1639.9000000000042
260,955,-464.6000000000011,-675.8000000000025,-653.2000000000024,-1793.6000000000058
270,852,-398.4999999999997,-619.9000000000016,-571.6999999999985,-1590.0999999999997
280,910,-459.4000000000007,-675.1000000000005,-641.5000000000056,-1776.0000000000068
290,949,-481.2000000000011,-713.1000000000029,-680.6000000000029,-1874.900000000007
300,1068,-629.2000000000038,-781.9000000000021,-778.9000000000095,-2190.0000000000155
310,910,-416.40000000000066,-625.0000000000006,-608.3000000000008,-1649.700000000002
320,880,-389.70000000000016,-592.3000000000026,-579.0999999999985,-1561.1000000000013
330,1155,-604.3000000000005,-924.9000000000049,-974.600000000012,-2503.8000000000175
340,1044,-631.400000000005,-774.4000000000037,-788.7000000000049,-2194.5000000000136
350,1036,-438.1999999999974,-676.9999999999989,-681.5000000000058,-1796.700000000002
360,949,-409.89999999999765,-624.9999999999993,-623.4000000000018,-1658.2999999999988
370,800,-363.99999999999903,-507.2000000000034,-532.699999999996,-1403.8999999999983
380,769,-388.6999999999998,-534.4000000000045,-529.9999999999955,-1453.1
390,843,-387.3999999999995,-585.5000000000014,-565.5999999999982,-1538.499999999999
400,944,-400.40000000000015,-606.5000000000008,-625.1000000000021,-1632.0000000000032
410,888,-412.49999999999903,-603.5000000000032,-599.7,-1615.7000000000023
420,1082,-577.4000000000018,-887.1000000000109,-939.7000000000107,-2404.2000000000235
430,814,-392.9999999999999,-550.0000000000035,-548.0999999999974,-1491.1000000000008
440,919,-481.4000000000013,-685.7000000000022,-644.0000000000008,-1811.1000000000045
450,1048,-655.6000000000063,-844.3000000000088,-816.1000000000132,-2316.000000000028
460,807,-422.50000000000017,-590.8000000000043,-588.8000000000036,-1602.100000000008
470,915,-405.8000000000005,-618.6999999999997,-611.6000000000003,-1636.1000000000004
480,1098,-617.2000000000024,-862.7000000000031,-877.7000000000176,-2357.600000000023
490,1039,-551.6000000000014,-785.9000000000024,-814.2000000000137,-2151.700000000017
500,897,-402.3999999999993,-606.2000000000018,-591.1999999999996,-1599.8000000000006
510,788,-361.6000000000001,-513.4000000000043,-521.2999999999948,-1396.2999999999993
520,1179,-694.4000000000042,-935.3000000000071,-905.4000000000109,-2535.100000000022
530,909,-476.3000000000006,-660.6000000000016,-658.0000000000082,-1794.9000000000103
540,1195,-741.4000000000045,-987.000000000009,-1002.600000000016,-2731.0000000000296
550,1103,-698.7000000000031,-814.899999999997,-852.8000000000235,-2366.4000000000237
560,776,-353.7000000000009,-486.30000000000365,-512.8999999999943,-1352.8999999999987
570,999,-514.7000000000015,-772.2000000000082,-750.8000000000035,-2037.700000000013
580,868,-399.8999999999991,-592.7000000000012,-579.0999999999989,-1571.6999999999994
590,984,-595.2000000000022,-794.2000000000062,-711.5000000000077,-2100.900000000016
600,941,-416.6999999999992,-635.5000000000038,-625.4000000000018,-1677.600000000005
610,1034,-593.7000000000007,-819.4000000000077,-763.5000000000057,-2176.600000000014
620,1089,-586.0000000000022,-854.4000000000025,-849.0000000000094,-2289.400000000014
630,1064,-667.3000000000044,-871.2000000000064,-864.1000000000121,-2402.600000000023
640,858,-415.70000000000016,-556.3000000000025,-577.2999999999992,-1549.3000000000018
650,1042,-571.3000000000019,-836.9000000000112,-767.1000000000038,-2175.3000000000166
660,948,-485.600000000002,-676.8999999999993,-659.300000000006,-1821.8000000000075
670,974,-518.9000000000013,-736.2999999999994,-711.7000000000069,-1966.9000000000076
680,860,-402.3999999999991,-569.9000000000021,-573.2999999999988,-1545.6000000000001
690,838,-381.80000000000007,-550.9000000000027,-556.6999999999973,-1489.4
700,822,-364.9999999999995,-537.2000000000041,-544.2999999999965,-1446.5000000000002
710,969,-590.1000000000049,-715.5000000000056,-731.8000000000042,-2037.4000000000146
720,994,-609.8000000000022,-770.9000000000012,-737.3000000000076,-2118.000000000011
730,999,-512.1000000000022,-693.7000000000033,-686.4000000000049,-1892.2000000000105
740,1122,-704.1000000000032,-916.6000000000073,-914.3000000000151,-2535.0000000000255
750,850,-393.00000000000085,-575.9000000000023,-567.4999999999981,-1536.400000000001
760,777,-352.6999999999983,-503.30000000000405,-519.9999999999952,-1375.9999999999975
770,748,-331.0999999999989,-490.3000000000035,-495.49999999999426,-1316.8999999999967
780,960,-513.600000000003,-713.8000000000038,-687.3000000000054,-1914.7000000000123
790,880,-388.3000000000004,-584.7000000000056,-584.8999999999992,-1557.900000000005
800,1183,-782.5000000000073,-857.599999999992,-866.8000000000167,-2506.900000000016
810,982,-447.80000000000024,-660.4999999999986,-667.7000000000053,-1776.000000000004
820,901,-455.9000000000009,-668.9000000000041,-623.600000000001,-1748.400000000006
830,879,-441.00000000000006,-622.4000000000017,-607.0000000000019,-1670.4000000000037
840,944,-529.6000000000031,-751.2000000000096,-710.7000000000011,-1991.5000000000136
850,1011,-549.3000000000018,-747.400000000001,-739.0000000000081,-2035.7000000000107
860,826,-382.9000000000001,-573.7000000000054,-558.2999999999975,-1514.9000000000028
870,805,-370.69999999999936,-512.4000000000044,-538.1999999999965,-1421.3000000000002
880,927,-402.29999999999785,-616.6000000000006,-612.0000000000009,-1630.8999999999994
890,1128,-646.3000000000039,-870.800000000006,-868.7000000000082,-2385.8000000000184
900,1136,-727.5000000000068,-887.1000000000026,-882.5000000000107,-2497.1000000000204
910,791,-381.0999999999993,-551.9000000000029,-553.5999999999982,-1486.6000000000004
920,896,-408.99999999999955,-616.4000000000046,-596.2999999999995,-1621.7000000000037
930,1083,-622.1000000000035,-815.4000000000026,-810.2000000000078,-2247.700000000014
940,827,-446.40000000000265,-593.6000000000058,-570.5999999999992,-1610.6000000000076
950,859,-388.2999999999978,-550.000000000003,-567.3999999999983,-1505.699999999999
960,765,-348.80000000000035,-492.6000000000039,-514.599999999995,-1355.999999999999
970,891,-410.0999999999997,-633.4000000000024,-599.8000000000004,-1643.3000000000025
980,1110,-657.9000000000027,-899.4000000000046,-841.1000000000137,-2398.400000000021
990,893,-395.49999999999903,-594.3000000000017,-592.1999999999995,-1582.0
1000,1066,-708.7000000000057,-833.0000000000058,-830.3000000000128,-2372.0000000000246
1010,906,-442.50000000000125,-627.6000000000018,-623.5000000000035,-1693.6000000000067
1020,996,-440.2999999999996,-663.2999999999978,-659.5000000000039,-1763.1000000000013
1030,834,-374.90000000000094,-534.8000000000039,-552.0999999999966,-1461.8000000000015
1040,743,-350.6999999999987,-524.0000000000034,-498.9999999999946,-1373.6999999999966
