Episode,Steps,Agent0,Agent1,Agent2,Total
1,1999,-1781.3999999999692,-1742.1999999999746,-1798.2999999999886,-5321.899999999932
2,1999,-1712.5999999999797,-1832.7999999999606,-1875.2999999999997,-5420.699999999941
3,1999,-1790.8999999999721,-1734.8999999999696,-1800.1999999999964,-5325.999999999938
4,1999,-1692.0999999999733,-1772.7999999999736,-1769.4000000000096,-5234.2999999999565
5,1999,-1709.4999999999693,-1726.5999999999508,-1840.899999999994,-5276.9999999999145
6,1999,-1827.7999999999652,-1831.8999999999687,-1870.3000000000022,-5529.999999999936
7,1999,-1750.3999999999699,-1854.499999999981,-1924.0999999999858,-5528.999999999936
8,1999,-1892.599999999973,-1801.2999999999697,-1772.3000000000022,-5466.199999999945
9,1999,-1745.8999999999703,-1811.6999999999678,-1798.5000000000002,-5356.0999999999385
11,1999,-1840.599999999961,-1811.1999999999662,-1950.1999999999882,-5601.999999999915
12,1999,-1780.0999999999722,-1863.4999999999752,-1738.000000000013,-5381.59999999996
13,1999,-1797.7999999999677,-1701.399999999952,-1844.0999999999938,-5343.299999999914
14,1999,-1735.7999999999822,-1778.8999999999678,-1737.300000000011,-5251.999999999961
15,1995,-1747.4999999999666,-1553.0999999999742,-1780.600000000008,-5081.199999999949
16,1999,-1820.8999999999646,-1786.7999999999522,-1836.2000000000048,-5443.899999999921
17,1999,-1934.1999999999596,-1819.8999999999648,-1867.5999999999967,-5621.699999999921
18,1999,-1775.6999999999728,-1779.1999999999678,-1822.4000000000153,-5377.299999999956
19,1999,-1744.099999999974,-1776.899999999973,-1803.6999999999998,-5324.699999999947
21,1999,-1761.5999999999779,-1744.3999999999523,-1762.400000000009,-5268.399999999939
22,1999,-1827.8999999999717,-1901.5999999999678,-1802.4000000000037,-5531.899999999943
23,1999,-1808.999999999965,-1679.299999999949,-1742.100000000009,-5230.399999999923
24,1999,-1779.9999999999727,-1809.7999999999697,-1787.699999999998,-5377.49999999994
25,1999,-1797.099999999963,-1786.7999999999436,-1828.2000000000003,-5412.099999999908
26,922,-506.3000000000018,-690.0000000000075,-652.3000000000001,-1848.6000000000095
27,1069,-472.79999999999836,-716.3999999999946,-706.1000000000066,-1895.2999999999997
28,914,-411.29999999999944,-631.7000000000005,-610.6000000000007,-1653.6000000000008
29,1287,-818.1000000000047,-1053.0000000000052,-1070.5000000000123,-2941.600000000022
31,792,-386.09999999999945,-546.5000000000018,-530.4999999999957,-1463.099999999997
32,969,-480.2000000000009,-708.799999999998,-679.1000000000022,-1868.100000000001
33,986,-472.999999999998,-760.399999999997,-691.9000000000076,-1925.3000000000027
34,1050,-578.6000000000033,-778.1000000000005,-794.000000000004,-2150.700000000008
35,967,-497.0000000000006,-720.5000000000003,-662.5000000000045,-1880.0000000000055
36,936,-417.39999999999816,-620.5,-625.5000000000018,-1663.4
37,958,-497.3999999999984,-725.5000000000019,-698.9000000000095,-1921.8000000000097
38,853,-392.7999999999988,-590.3000000000013,-571.9999999999981,-1555.099999999998
39,977,-447.19999999999703,-673.7999999999969,-651.3000000000035,-1772.2999999999975
41,827,-378.8999999999995,-569.9000000000023,-551.7999999999971,-1500.599999999999
42,921,-428.99999999999693,-635.5999999999991,-614.1000000000008,-1678.6999999999969
43,883,-415.3999999999985,-582.9000000000023,-593.0999999999996,-1591.4000000000003
44,934,-437.7999999999996,-659.4999999999975,-631.0000000000022,-1728.2999999999993
45,986,-534.1000000000024,-711.9000000000042,-732.9000000000027,-1978.9000000000092
46,933,-468.80000000000024,-704.499999999996,-662.2000000000057,-1835.500000000002
47,847,-416.50000000000057,-593.9999999999995,-576.0999999999989,-1586.599999999999
48,900,-414.7999999999961,-644.3999999999984,-614.8000000000023,-1673.9999999999968
49,863,-419.0000000000004,-591.0000000000011,-577.0999999999984,-1587.1
51,941,-433.4000000000002,-644.5999999999982,-631.5000000000017,-1709.5
52,767,-372.3999999999996,-512.2000000000032,-516.0999999999946,-1400.6999999999975
53,932,-419.99999999999943,-631.3000000000003,-617.4000000000013,-1668.7000000000012
54,1006,-445.19999999999675,-693.899999999995,-667.0000000000045,-1806.0999999999963
55,906,-459.60000000000053,-669.0000000000072,-650.4000000000021,-1779.0000000000098
56,797,-384.2000000000003,-549.2000000000025,-537.7999999999962,-1471.199999999999
57,1029,-589.9000000000029,-787.1999999999992,-743.0000000000125,-2120.100000000015
58,1331,-882.7000000000079,-1092.2999999999997,-1083.9000000000112,-3058.9000000000187
59,988,-454.6000000000001,-659.0999999999977,-655.5000000000035,-1769.2000000000012
61,731,-385.9000000000005,-478.70000000000323,-489.8999999999947,-1354.4999999999984
62,912,-440.2000000000003,-629.499999999999,-611.6000000000007,-1681.3000000000002
63,857,-395.29999999999956,-572.7000000000002,-575.6999999999985,-1543.6999999999982
64,980,-431.6999999999999,-659.9999999999993,-647.0000000000033,-1738.7000000000025
65,929,-428.6999999999994,-644.2999999999995,-629.6000000000016,-1702.6000000000004
66,1003,-494.1000000000007,-706.4999999999975,-704.2000000000072,-1904.8000000000052
67,956,-531.8999999999994,-685.2999999999988,-685.900000000009,-1903.1000000000072
68,862,-398.1999999999981,-579.100000000001,-572.6999999999983,-1549.9999999999975
69,1063,-600.9000000000023,-837.1000000000017,-828.300000000011,-2266.300000000015
71,961,-533.9999999999999,-745.6000000000017,-699.6000000000115,-1979.2000000000132
72,898,-411.9999999999972,-632.2999999999987,-610.8000000000013,-1655.0999999999972
73,1062,-594.0000000000007,-820.3999999999984,-807.1000000000134,-2221.5000000000127
74,1118,-623.0000000000024,-839.3000000000023,-861.800000000008,-2324.1000000000126
75,1227,-778.5000000000043,-1076.5000000000039,-981.200000000023,-2836.200000000031
76,825,-380.5999999999997,-542.3000000000027,-550.8999999999968,-1473.7999999999993
77,903,-414.6000000000003,-623.6999999999985,-605.8000000000002,-1644.099999999999
78,860,-482.4000000000029,-633.7000000000006,-622.8999999999988,-1739.0000000000023
79,958,-492.1999999999998,-700.3999999999972,-661.2000000000057,-1853.800000000003
81,1156,-653.3000000000014,-969.100000000006,-911.7000000000179,-2534.1000000000254
82,1441,-1056.3000000000118,-1218.9999999999984,-1263.0000000000073,-3538.3000000000175
83,941,-463.3999999999992,-650.6999999999989,-636.3000000000021,-1750.4
84,866,-391.7999999999982,-590.3000000000009,-580.1999999999983,-1562.2999999999975
85,1047,-608.6000000000024,-801.5000000000009,-837.8000000000125,-2247.900000000016
86,854,-409.0999999999997,-562.300000000001,-571.2999999999981,-1542.699999999999
87,925,-503.00000000000017,-652.0000000000034,-670.3000000000056,-1825.3000000000093
88,1104,-629.700000000003,-855.4000000000032,-799.0000000000084,-2284.100000000015
89,908,-429.8000000000006,-653.2000000000016,-605.4000000000001,-1688.4000000000024
91,952,-458.49999999999847,-704.1999999999969,-640.9000000000028,-1803.599999999998
92,947,-424.39999999999884,-607.6000000000013,-627.9000000000021,-1659.9000000000021
93,1366,-928.6000000000066,-1175.7999999999972,-1188.3000000000236,-3292.700000000027
94,1093,-680.7000000000066,-883.8000000000065,-852.8000000000139,-2417.300000000027
95,834,-401.7000000000005,-615.3999999999999,-591.0999999999974,-1608.1999999999978
96,792,-357.99999999999926,-516.5000000000035,-530.6999999999949,-1405.1999999999975
97,1100,-729.6000000000057,-869.1000000000001,-834.9000000000186,-2433.6000000000245
98,931,-543.3000000000012,-650.2000000000004,-675.8000000000089,-1869.3000000000106
99,925,-416.49999999999824,-610.1999999999997,-611.5000000000011,-1638.1999999999991
