Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2000.7999999999654,-2016.9999999999764,-2000.6,-6018.399999999941
10,1999,-2034.2999999999702,-1999.8999999999828,-2050.399999999981,-6084.599999999934
20,1999,-2033.69999999997,-2000.4999999999827,-2017.2999999999938,-6051.499999999946
30,962,-439.799999999998,-655.8999999999986,-638.2000000000031,-1733.8999999999996
40,1019,-565.5000000000034,-745.3999999999991,-717.5000000000086,-2028.400000000011
50,830,-380.1999999999996,-572.9000000000026,-554.4999999999972,-1507.5999999999995
60,859,-407.80000000000035,-580.2000000000014,-572.7999999999981,-1560.8
70,1236,-806.000000000008,-995.4000000000082,-1049.900000000012,-2851.300000000028
80,918,-420.59999999999803,-631.3999999999978,-612.900000000001,-1664.899999999997
90,900,-400.0999999999992,-583.9000000000021,-592.1999999999994,-1576.2000000000007
100,950,-496.30000000000024,-696.3999999999971,-647.4000000000036,-1840.1000000000008
110,1006,-446.6999999999994,-668.8999999999986,-661.7000000000039,-1777.300000000002
120,777,-354.80000000000086,-490.0000000000034,-512.6999999999941,-1357.4999999999984
130,921,-412.10000000000036,-632.7999999999996,-609.3000000000009,-1654.200000000001
140,871,-395.4999999999987,-597.4000000000025,-596.4000000000017,-1589.300000000003
150,909,-440.5000000000007,-649.500000000004,-645.5000000000011,-1735.5000000000057
160,989,-463.7999999999997,-695.0999999999964,-663.3000000000048,-1822.2000000000007
170,916,-446.8,-629.5000000000009,-614.100000000001,-1690.400000000002
180,815,-374.29999999999836,-558.6000000000013,-559.199999999999,-1492.0999999999985
190,986,-519.2000000000008,-749.7999999999997,-728.800000000009,-1997.8000000000095
200,922,-421.79999999999995,-664.1000000000022,-614.1000000000014,-1700.0000000000036
210,907,-446.5999999999994,-661.5000000000036,-629.0999999999996,-1737.2000000000025
220,898,-405.79999999999836,-626.3000000000019,-604.7000000000012,-1636.8000000000015
230,833,-377.9999999999997,-532.1000000000026,-554.599999999997,-1464.6999999999994
240,967,-426.1999999999976,-641.8999999999975,-639.6000000000028,-1707.699999999998
250,913,-393.29999999999916,-599.4000000000018,-597.8999999999999,-1590.6000000000008
260,873,-395.4999999999995,-585.6000000000009,-582.899999999999,-1563.9999999999993
270,841,-380.9999999999995,-556.2000000000038,-556.2999999999973,-1493.5000000000005
280,867,-378.29999999999876,-641.3000000000046,-576.3999999999984,-1596.0000000000018
290,828,-375.8999999999999,-562.0000000000024,-570.9999999999981,-1508.9000000000005
300,964,-448.2999999999994,-691.0000000000017,-666.4000000000071,-1805.7000000000082
310,889,-388.8999999999998,-614.3000000000029,-591.5999999999992,-1594.800000000002
320,909,-400.59999999999957,-599.3000000000009,-602.0000000000003,-1601.9000000000008
330,1069,-538.0000000000005,-804.899999999997,-815.3000000000092,-2158.2000000000066
340,993,-547.6000000000039,-706.0999999999992,-689.1000000000047,-1942.8000000000077
350,928,-395.49999999999903,-589.0000000000011,-613.300000000001,-1597.800000000001
360,909,-396.99999999999756,-601.8000000000018,-597.0999999999996,-1595.8999999999987
370,849,-375.4999999999993,-542.7000000000024,-561.4999999999978,-1479.6999999999996
380,781,-358.4999999999992,-554.8000000000027,-541.4999999999968,-1454.7999999999988
390,891,-394.0999999999988,-593.5000000000023,-597.8,-1585.400000000001
